,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,PxV,Day_Perc_Change,Trend,Rolling_14,bollinger_upper,bollinger_lower
0,TCS,EQ,2017-05-15,2360.65,2375.1,2377.95,2341.6,2368.0,2365.1,2352.6,908802,2138043383.0,30047,712450,78.39,5,2017,2149407610.2,0.0,Slight or No change,,,
1,TCS,EQ,2017-05-16,2365.1,2380.0,2435.0,2373.45,2425.1,2429.15,2410.26,1800513,4339703206.25,58476,1167534,64.84,5,2017,4373716153.95,0.02708130734429837,Slight or No change,,,
2,TCS,EQ,2017-05-17,2429.15,2433.5,2460.75,2423.0,2450.0,2455.35,2443.31,1438099,3513728629.8,86412,1031752,71.74,5,2017,3531036379.65,0.010785665767861108,Slight or No change,,,
3,TCS,EQ,2017-05-18,2455.35,2450.0,2572.0,2442.25,2525.0,2536.2,2525.78,2569297,6489478324.85,111566,1135613,44.2,5,2017,6516251051.4,0.032928095790824015,Slight or No change,,,
4,TCS,EQ,2017-05-19,2536.2,2536.2,2540.55,2486.0,2503.85,2507.15,2506.58,893022,2238429862.6,63112,517461,57.94,5,2017,2238940107.3,-0.011454143994952927,Slight or No change,,,
5,TCS,EQ,2017-05-22,2507.15,2510.0,2553.75,2510.0,2535.0,2531.35,2530.69,831970,2105461143.45,53261,509741,61.27,5,2017,2106007259.5,0.00965239415272312,Slight or No change,,,
6,TCS,EQ,2017-05-23,2531.35,2533.2,2564.15,2514.0,2523.7,2521.7,2530.49,1374298,3477645339.05,88749,995551,72.44,5,2017,3465567266.6,-0.0038121950737749493,Slight or No change,,,
7,TCS,EQ,2017-05-24,2521.7,2534.8,2570.0,2529.65,2567.1,2559.15,2545.01,1267274,3225227837.35,58716,918505,72.48,5,2017,3243144257.1,0.014851092516952937,Slight or No change,,,
8,TCS,EQ,2017-05-25,2559.15,2577.0,2637.55,2568.0,2615.05,2624.6,2605.4,2047047,5333377224.3,87147,1180439,57.67,5,2017,5372679556.2,0.025574897915323413,Slight or No change,,,
9,TCS,EQ,2017-05-26,2624.6,2625.0,2626.85,2564.65,2570.05,2578.25,2593.0,681275,1766542910.7,32170,390827,57.37,5,2017,1756497268.75,-0.01765983387944825,Slight or No change,,,
10,TCS,EQ,2017-05-29,2578.25,2579.0,2596.5,2564.0,2572.0,2572.85,2577.65,874645,2254524743.95,41767,635375,72.64,5,2017,2250330388.25,-0.0020944439057500874,Slight or No change,,,
11,TCS,EQ,2017-05-30,2572.85,2560.0,2575.95,2525.0,2548.2,2551.1,2554.74,463817,1184932112.45,26766,246206,53.08,5,2017,1183243548.7,-0.00845366033775774,Slight or No change,,,
12,TCS,EQ,2017-05-31,2551.1,2533.0,2572.5,2528.0,2539.95,2546.6,2549.69,1251365,3190589291.1,103176,925467,73.96,5,2017,3186726109.0,-0.0017639449649170524,Slight or No change,,,
13,TCS,EQ,2017-06-01,2546.6,2530.0,2564.0,2530.0,2553.0,2553.6,2552.85,540032,1378618493.35,38315,370004,68.52,6,2017,1379025715.2,0.0027487630566245262,Slight or No change,2523.7249999999995,3451.144883747029,1596.3051162529698
14,TCS,EQ,2017-06-02,2553.6,2556.25,2591.85,2552.5,2560.0,2564.9,2568.84,677824,1741220234.05,43736,511928,75.53,6,2017,1738550777.6,0.004425125313283207,Slight or No change,2537.996428571428,3465.416312318458,1610.5765448243985
15,TCS,EQ,2017-06-05,2564.9,2565.0,2619.9,2560.15,2616.0,2603.95,2577.2,750094,1933140402.5,39041,490594,65.4,6,2017,1953207271.3,0.015224765098054371,Slight or No change,2550.482142857142,3477.9020266041716,1623.0622591101126
16,TCS,EQ,2017-06-06,2603.95,2631.0,2708.95,2630.0,2705.0,2696.0,2693.18,2973360,8007780799.0,132494,1888281,63.51,6,2017,8016178560.0,0.03535014113174228,Slight or No change,2567.6714285714284,3495.091312318458,1640.2515448243987
